,rate,votes,approx_cost(for two people),clusters
117,3.7,217,450,1
118,3.8,148,150,1
119,2.9,177,700,1
120,3.7,136,600,1
121,4.1,185,200,1
122,3.8,155,400,1
123,3.8,42,300,1
124,3.8,286,600,1
125,3.8,160,700,1
126,3.8,59,750,1
127,4.0,89,200,1
128,3.9,40,600,1
129,2.5,35,200,1
130,3.6,62,600,1
131,4.1,139,550,1
132,3.7,237,200,1
133,3.9,388,650,1
134,3.9,128,500,1
135,4.1,1875,1200,3
136,3.8,90,650,1
137,4.2,179,600,1
138,4.3,275,100,1
139,3.7,323,850,1
140,4.3,322,400,1
141,2.6,157,450,1
142,3.9,543,300,1
143,3.7,180,500,1
144,4.2,444,100,1
145,3.9,134,400,1
146,3.8,577,900,1
147,3.9,144,550,1
148,4.1,787,800,1
149,3.6,84,250,1
150,4.0,349,1200,0
151,3.7,248,400,1
152,4.1,216,500,1
153,4.0,324,700,1
154,2.6,231,400,1
155,3.4,102,400,1
156,3.9,133,800,1
157,2.8,45,800,1
158,3.8,75,200,1
159,4.0,53,600,1
160,4.2,815,900,0
161,4.0,633,800,1
162,3.5,56,400,1
163,3.9,70,400,1
164,3.9,91,300,1
165,3.8,77,650,1
166,3.8,210,600,1
167,4.1,130,650,1
168,4.1,30,100,1
169,3.8,144,700,1
170,3.7,133,700,1
171,4.0,136,350,1
172,3.8,74,300,1
173,3.7,54,600,1
174,3.4,58,400,1
175,3.6,129,600,1
176,3.5,41,400,1
177,4.1,176,800,1
178,3.7,47,400,1
179,3.7,36,650,1
180,3.9,101,150,1
181,4.1,442,1200,0
182,3.8,53,250,1
183,4.0,232,400,1
184,3.9,221,700,1
185,4.1,1063,1200,0
186,3.7,93,200,1
187,3.9,233,800,1
188,3.9,211,500,1
189,4.0,1778,200,3
190,3.6,218,800,1
191,3.7,514,600,1
192,4.0,866,900,0
193,3.2,96,400,1
194,3.5,80,250,1
195,4.0,73,300,1
196,3.9,84,400,1
197,3.5,88,350,1
198,3.5,179,600,1
199,3.8,61,100,1
200,3.7,128,450,1
201,3.8,339,400,1
202,4.1,449,100,1
203,4.1,210,150,1
204,3.0,213,400,1
205,3.2,208,250,1
206,3.8,70,100,1
207,4.0,219,600,1
208,3.7,59,200,1
209,3.7,124,750,1
210,4.1,775,800,1
211,4.2,2022,1000,3
212,4.2,150,600,1
213,4.0,232,750,1
214,3.5,431,800,1
215,4.2,2115,800,3
216,3.8,155,450,1
217,4.1,666,1000,0
218,3.9,240,700,1
219,3.8,918,800,1
220,4.0,465,600,1
221,4.1,970,1500,0
222,3.3,128,300,1
223,3.6,241,300,1
224,4.3,734,200,1
225,3.8,130,400,1
226,4.2,261,700,1
227,4.0,191,300,1
228,4.1,364,550,1
229,3.9,888,750,1
230,3.9,750,500,1
231,4.2,164,500,1
232,3.8,527,500,1
233,4.3,345,400,1
234,4.4,356,150,1
235,3.9,38,150,1
236,3.9,116,400,1
237,3.8,918,800,1
238,3.8,144,700,1
239,4.3,860,500,1
240,3.8,45,400,1
241,3.9,70,400,1
242,4.0,98,400,1
243,4.0,219,600,1
244,4.0,73,300,1
245,2.7,97,400,1
246,3.9,888,750,1
247,4.0,349,1200,0
248,4.2,287,350,1
249,4.6,2556,600,3
250,4.2,354,800,1
251,4.1,775,800,1
252,4.2,2115,800,3
253,3.8,977,1300,0
254,4.1,868,1200,0
255,4.0,324,700,1
256,4.1,787,800,1
257,4.2,504,550,1
258,4.1,402,500,1
259,4.2,150,600,1
260,4.2,164,500,1
261,4.2,244,800,1
262,4.0,771,450,1
263,4.2,1647,600,3
264,4.0,808,850,1
265,4.0,424,450,1
266,3.9,135,800,1
267,3.8,918,800,1
268,3.8,90,650,1
269,3.9,519,900,1
270,3.6,105,700,1
271,3.9,133,800,1
272,3.8,144,700,1
273,3.9,93,300,1
274,3.8,42,300,1
275,2.5,247,500,1
276,3.0,62,400,1
277,3.8,160,700,1
278,3.6,129,600,1
279,3.3,62,800,1
280,2.6,283,600,1
281,3.8,59,750,1
282,3.5,179,600,1
283,3.8,62,150,1
284,3.0,98,800,1
285,2.7,128,850,1
286,2.8,45,800,1
287,3.5,41,400,1
288,3.7,405,750,1
289,3.9,388,650,1
290,4.7,651,100,1
291,4.3,734,200,1
292,4.0,1047,450,1
293,3.8,505,450,1
294,3.9,264,200,1
295,3.9,286,500,1
296,4.4,343,100,1
297,3.8,70,500,1
298,3.8,70,100,1
299,3.7,237,200,1
300,4.1,201,300,1
301,2.8,506,500,1
302,4.1,520,300,1
303,3.7,88,300,1
304,3.7,136,600,1
305,3.9,88,250,1
306,3.8,189,300,1
307,3.8,39,350,1
308,3.9,540,800,1
309,3.6,71,250,1
310,3.5,88,350,1
311,3.0,87,600,1
312,4.2,415,500,1
313,3.3,128,300,1
314,4.1,94,100,1
315,3.7,65,300,1
316,3.5,52,300,1
317,3.0,290,450,1
318,3.7,59,200,1
319,3.7,130,200,1
320,3.5,80,250,1
321,3.9,441,400,1
322,3.6,84,250,1
323,4.0,42,300,1
324,3.0,213,400,1
325,4.2,725,350,1
326,3.9,750,500,1
327,3.8,166,600,1
328,4.4,4460,150,3
329,3.9,153,350,1
330,3.8,469,750,1
331,4.1,364,550,1
332,3.8,286,600,1
333,3.8,527,500,1
334,3.9,101,150,1
335,4.1,558,150,1
336,3.8,148,550,1
337,2.7,377,1100,0
338,3.9,206,450,1
339,3.9,100,300,1
340,4.2,444,100,1
341,3.9,133,650,1
342,4.0,219,600,1
343,4.2,253,250,1
344,3.7,61,600,1
345,3.8,155,400,1
346,3.9,233,800,1
347,3.7,264,750,1
348,4.1,238,600,1
349,4.1,176,800,1
350,3.7,93,200,1
351,3.8,124,300,1
352,4.3,275,100,1
353,4.2,254,150,1
354,4.1,177,100,1
355,4.0,132,200,1
356,3.8,74,300,1
357,3.6,172,700,1
358,3.9,543,300,1
359,4.0,52,300,1
360,3.7,217,450,1
361,3.9,111,700,1
362,3.8,133,200,1
363,3.8,39,250,1
364,4.0,64,200,1
365,3.8,148,150,1
366,3.8,55,300,1
367,3.8,977,1300,0
368,4.1,868,1200,0
369,3.3,62,800,1
370,3.0,98,800,1
371,2.7,377,1100,0
372,4.4,2487,900,3
373,4.2,1964,1000,3
374,4.3,3178,750,3
375,3.3,455,550,1
376,4.7,3845,1600,3
377,4.3,353,1200,0
378,4.1,1234,800,0
379,4.1,1538,1000,0
380,3.8,756,1000,0
381,4.0,347,1000,1
382,4.0,165,1000,1
383,3.3,177,950,1
384,3.0,102,600,1
385,4.0,200,700,1
386,3.9,102,450,1
387,3.7,171,300,1
388,3.7,37,400,1
389,3.9,40,400,1
390,3.9,125,500,1
391,3.9,49,600,1
392,3.8,69,700,1
393,3.9,78,350,1
394,2.7,48,650,1
395,4.1,46,600,1
396,4.0,129,600,1
397,3.9,727,800,1
398,4.1,521,550,1
399,4.1,203,650,1
400,4.4,4381,600,3
401,3.7,131,400,1
402,3.7,46,450,1
403,3.4,48,550,1
404,3.7,127,700,1
405,2.7,85,500,1
406,3.7,335,800,1
407,3.8,254,800,1
408,4.1,63,300,1
409,4.0,244,400,1
410,2.9,255,250,1
411,4.5,549,400,1
412,4.1,775,300,1
413,3.6,208,300,1
414,4.1,739,500,1
415,3.8,310,400,1
416,4.0,126,150,1
417,4.1,427,500,1
418,4.0,197,300,1
419,4.1,601,700,1
420,3.9,488,400,1
421,4.0,396,400,1
422,3.6,474,450,1
423,2.9,172,300,1
424,3.1,175,250,1
425,4.0,939,600,1
426,3.9,173,250,1
427,3.9,77,400,1
428,3.9,326,200,1
429,3.3,212,350,1
430,4.1,464,300,1
431,3.3,628,450,1
432,3.6,518,400,1
433,3.9,70,350,1
434,3.9,62,300,1
435,4.4,819,400,1
436,4.2,1964,1000,3
437,4.0,138,650,1
438,3.3,455,550,1
439,3.8,181,600,1
440,3.6,43,300,1
441,2.7,159,750,1
442,3.2,166,600,1
443,3.7,128,400,1
444,2.9,126,300,1
445,4.0,952,400,1
446,3.8,472,600,1
447,4.0,739,800,1
448,3.9,255,500,1
449,4.0,1974,800,3
450,4.2,1428,800,0
451,4.0,332,300,1
452,4.0,199,700,1
453,3.9,437,400,1
454,3.8,207,700,1
455,4.4,4381,600,3
456,3.8,55,300,1
457,4.0,597,400,1
458,3.0,102,600,1
459,3.9,189,300,1
460,3.7,131,400,1
461,4.2,373,750,1
462,3.9,435,650,1
463,4.1,292,700,1
464,3.6,137,300,1
465,3.2,133,500,1
466,3.9,37,250,1
467,3.7,170,200,1
468,3.6,794,550,1
469,4.6,404,1000,1
470,3.9,561,900,1
471,3.9,486,700,1
472,3.9,320,650,1
473,4.1,237,500,1
474,3.9,1227,900,0
475,4.0,95,600,1
476,4.1,1538,1000,0
477,3.7,110,800,1
478,4.1,381,250,1
479,3.9,251,500,1
480,3.0,353,400,1
481,4.0,205,450,1
482,3.9,183,250,1
483,3.9,99,400,1
484,4.1,260,300,1
485,3.9,355,400,1
486,4.1,83,400,1
487,2.5,321,400,1
488,3.9,362,600,1
489,4.2,2166,1200,3
490,4.0,182,400,1
491,3.8,500,1000,0
492,4.0,532,800,1
493,3.5,551,600,1
494,4.2,421,700,1
495,3.7,662,650,1
496,3.8,54,500,1
497,4.1,92,300,1
498,3.7,36,600,1
499,4.2,2350,800,3
500,3.9,49,600,1
501,3.7,184,400,1
502,3.6,225,700,1
503,4.0,35,300,1
504,4.0,869,500,1
505,4.0,153,200,1
506,3.7,139,400,1
507,3.7,181,500,1
508,3.9,669,500,1
509,3.7,168,600,1
510,3.8,170,250,1
511,4.0,112,200,1
512,3.8,58,300,1
513,4.0,167,400,1
514,3.9,85,300,1
515,2.6,473,600,1
516,3.7,217,500,1
517,3.6,192,450,1
518,4.2,611,1500,0
519,4.0,166,750,1
520,4.1,46,600,1
521,4.4,2233,1200,3
522,4.0,107,300,1
523,4.2,306,600,1
524,3.8,756,1000,0
525,4.4,4309,1600,3
526,4.0,212,400,1
527,2.9,153,600,1
528,4.0,827,500,1
529,4.0,256,500,1
530,3.9,40,400,1
531,3.9,73,400,1
532,4.2,169,600,1
533,4.1,586,700,1
534,3.5,221,400,1
535,3.5,177,500,1
536,3.9,347,600,1
537,3.0,347,800,1
538,3.9,385,600,1
539,4.0,1305,750,0
540,3.0,122,500,1
541,4.3,539,300,1
542,3.9,681,800,1
543,3.8,106,350,1
544,4.1,1025,1000,0
545,3.6,132,250,1
546,4.2,289,400,1
547,3.9,407,500,1
548,3.9,201,250,1
549,3.7,37,400,1
550,4.1,203,650,1
551,3.1,320,600,1
552,3.8,257,800,1
553,3.8,46,450,1
554,3.9,102,450,1
555,4.2,237,600,1
556,3.7,108,600,1
557,3.9,34,750,1
558,3.2,144,350,1
559,4.2,1028,1100,0
560,3.8,84,600,1
561,4.0,181,550,1
562,4.0,128,230,1
563,3.8,171,250,1
564,3.9,200,400,1
565,3.0,114,1000,1
566,3.8,146,600,1
567,4.2,248,500,1
568,4.1,583,1200,0
569,3.7,42,500,1
570,3.7,171,300,1
571,3.7,79,500,1
572,3.7,46,450,1
573,4.2,1278,800,0
574,3.4,276,250,1
575,3.1,64,750,1
576,4.0,69,300,1
577,3.7,288,500,1
578,4.3,676,500,1
579,4.1,140,100,1
580,4.0,65,600,1
581,4.1,448,700,1
582,4.0,203,500,1
583,3.1,166,600,1
584,4.1,1320,1200,0
585,4.0,116,400,1
586,4.4,288,400,1
587,2.7,85,500,1
588,3.9,124,400,1
589,3.6,323,800,1
590,3.7,51,300,1
591,4.2,229,1000,1
592,2.8,102,350,1
593,4.0,76,150,1
594,3.9,42,250,1
595,3.9,239,500,1
596,3.7,55,200,1
597,3.9,178,400,1
598,3.4,224,400,1
599,3.9,199,300,1
600,4.0,1010,1300,0
601,3.8,72,400,1
602,4.1,1000,800,0
603,3.8,613,600,1
604,2.9,42,250,1
605,3.7,194,400,1
606,4.3,423,150,1
607,3.7,158,700,1
608,4.1,1403,1100,0
609,3.9,153,400,1
610,2.9,90,800,1
611,3.1,140,600,1
612,4.1,463,500,1
613,4.2,384,600,1
614,4.0,177,400,1
615,3.6,70,350,1
616,4.0,790,1300,0
617,3.9,92,300,1
618,4.1,131,400,1
619,3.8,89,400,1
620,3.0,57,400,1
621,3.8,92,1100,1
622,3.0,57,650,1
623,4.3,133,300,1
624,4.0,164,250,1
625,3.9,161,500,1
626,4.0,308,750,1
627,2.6,208,650,1
628,3.4,116,400,1
629,2.7,48,650,1
630,3.7,127,700,1
631,3.9,727,800,1
632,3.9,125,500,1
633,2.6,170,600,1
634,3.8,89,550,1
635,4.0,507,1000,0
636,3.8,254,550,1
637,2.8,334,500,1
638,3.8,69,700,1
639,4.1,842,1100,0
640,4.0,88,500,1
641,3.5,283,350,1
642,4.1,293,500,1
643,2.9,106,450,1
644,3.0,61,650,1
645,2.8,80,650,1
646,4.0,347,1000,1
647,3.4,186,450,1
648,4.0,93,800,1
649,2.4,183,450,1
650,2.9,85,250,1
651,3.4,66,800,1
652,2.9,58,250,1
653,3.6,162,500,1
654,2.7,67,300,1
655,2.2,90,750,1
656,2.4,96,500,1
657,4.0,101,500,1
658,3.8,560,800,1
659,3.7,243,450,1
660,3.2,148,250,1
661,2.3,291,250,1
662,3.9,1337,1700,0
663,4.0,65,200,1
664,3.6,43,600,1
665,3.7,46,400,1
666,3.7,46,150,1
667,3.7,117,150,1
668,4.4,2487,900,3
669,3.2,66,600,1
670,4.1,1187,1200,0
671,4.3,353,1200,0
672,4.2,1212,1200,0
673,3.7,115,550,1
674,4.1,952,400,1
675,3.8,915,600,1
676,3.7,135,500,1
677,4.1,466,700,1
678,3.8,115,350,1
679,3.9,61,400,1
680,3.9,86,250,1
681,4.0,193,500,1
682,3.8,82,1000,1
683,3.9,115,200,1
684,3.7,28,500,1
685,3.2,63,600,1
686,3.1,44,500,1
687,3.5,65,750,1
688,2.7,76,500,1
689,2.6,75,400,1
690,3.0,55,800,1
691,3.7,48,800,1
692,2.9,39,500,1
693,3.9,193,400,1
694,3.9,63,200,1
695,3.8,186,500,1
696,3.3,28,400,1
697,4.3,423,150,1
698,4.0,102,400,1
699,4.1,131,400,1
700,4.0,164,250,1
701,3.9,102,450,1
702,3.9,70,350,1
703,3.9,188,400,1
704,3.8,46,300,1
705,4.4,677,500,1
706,3.9,40,400,1
707,3.9,99,400,1
708,4.0,93,800,1
709,3.8,69,700,1
710,4.1,41,500,1
711,4.0,65,200,1
712,4.1,448,700,1
713,4.1,46,600,1
714,4.3,132,300,1
715,4.1,237,500,1
716,3.9,239,500,1
717,4.1,521,550,1
718,4.0,319,500,1
719,3.8,89,400,1
720,3.2,63,600,1
721,2.9,231,800,1
722,3.6,796,550,1
723,3.8,500,1000,0
724,3.9,681,800,1
725,3.8,207,700,1
726,4.0,532,800,1
727,4.2,421,700,1
728,3.9,319,650,1
729,4.1,1025,1000,0
730,3.6,225,700,1
731,4.0,200,700,1
732,4.0,739,800,1
733,3.8,149,400,1
734,3.9,102,450,1
735,3.7,110,800,1
736,3.7,171,300,1
737,3.7,37,400,1
738,3.9,1227,900,0
739,3.9,124,500,1
740,2.8,335,500,1
741,3.9,49,600,1
742,3.8,89,550,1
743,2.7,425,400,1
744,4.0,101,500,1
745,3.2,133,500,1
746,2.7,160,850,1
747,3.4,186,450,1
748,3.8,69,700,1
749,4.4,288,400,1
750,3.5,551,600,1
751,3.0,122,500,1
752,2.9,106,450,1
753,2.9,200,1000,1
754,3.2,66,600,1
755,2.8,80,650,1
756,2.6,170,600,1
757,3.4,66,800,1
758,3.6,162,500,1
759,2.9,90,800,1
760,2.2,90,750,1
761,2.4,96,500,1
762,3.4,116,400,1
763,3.6,132,250,1
764,3.8,55,300,1
765,3.0,114,1000,1
766,2.3,291,250,1
767,3.8,257,800,1
768,4.0,398,400,1
769,4.0,177,400,1
770,4.0,256,500,1
771,3.9,78,400,1
772,3.8,312,400,1
773,3.7,168,600,1
774,4.1,315,500,1
775,3.7,108,600,1
776,3.7,314,800,1
777,3.9,188,400,1
778,3.7,139,400,1
779,3.8,472,600,1
780,3.8,369,400,1
781,3.9,197,150,1
782,3.8,46,300,1
783,3.3,50,400,1
784,3.9,201,250,1
785,4.2,289,400,1
786,3.2,144,350,1
787,3.4,224,400,1
788,3.1,166,600,1
789,3.2,167,600,1
790,4.0,597,400,1
791,3.8,56,500,1
792,3.6,137,300,1
793,3.9,114,500,1
794,3.9,75,200,1
795,3.2,148,250,1
796,2.4,204,750,1
797,2.9,153,600,1
798,3.9,63,200,1
799,2.7,48,650,1
800,3.8,170,250,1
801,3.8,92,1100,1
802,2.8,102,350,1
803,3.5,56,400,1
804,2.9,85,250,1
805,2.9,58,250,1
806,3.7,51,300,1
807,4.0,212,400,1
808,3.8,182,600,1
809,2.4,158,300,1
810,3.6,323,800,1
811,3.1,175,250,1
812,4.5,2781,1200,3
813,4.7,3844,1600,3
814,4.3,353,1200,0
815,4.4,4312,1600,3
816,4.3,1196,1500,0
817,4.6,311,1300,0
818,4.2,1212,1200,0
819,4.1,1235,800,0
820,3.9,1763,1300,3
821,4.1,1538,1000,0
822,4.1,954,400,1
823,4.1,585,1200,0
824,4.2,374,750,1
825,4.2,1028,1100,0
826,4.1,448,700,1
827,4.1,1187,1200,0
828,4.0,180,550,1
829,4.0,1010,1300,0
830,4.2,230,1000,1
831,4.1,842,1100,0
832,4.1,1320,1200,0
833,4.0,790,1300,0
834,3.8,915,600,1
835,3.8,756,1000,0
836,3.9,34,750,1
837,4.0,347,1000,1
838,4.1,293,500,1
839,3.9,347,600,1
840,4.1,587,700,1
841,4.0,1306,750,0
842,4.1,466,700,1
843,4.0,129,300,1
844,3.7,217,500,1
845,3.8,115,350,1
846,3.8,59,400,1
847,3.7,535,950,1
848,3.8,228,400,1
849,3.9,178,450,1
850,3.9,727,800,1
851,3.7,243,450,1
852,4.1,521,550,1
853,2.9,51,600,1
854,4.4,4381,600,3
855,4.0,193,500,1
856,3.8,177,400,1
857,3.9,165,1000,1
858,3.4,97,1100,1
859,3.7,132,400,1
860,3.8,82,1000,1
861,3.9,407,500,1
862,3.8,46,450,1
863,3.3,177,950,1
864,3.8,146,600,1
865,3.1,320,600,1
866,3.4,48,550,1
867,2.3,175,450,1
868,3.1,64,750,1
869,3.5,65,750,1
870,3.0,55,800,1
871,3.7,48,800,1
872,3.0,57,650,1
873,3.7,127,700,1
874,2.5,321,400,1
875,3.9,92,300,1
876,3.9,115,200,1
877,3.9,386,600,1
878,3.3,212,350,1
879,2.9,231,800,1
880,3.9,62,300,1
881,4.1,612,1500,0
882,4.0,827,500,1
883,3.9,362,600,1
884,3.7,135,500,1
885,4.0,244,400,1
886,3.0,102,600,1
887,3.7,115,550,1
888,4.2,465,300,1
889,3.9,173,250,1
890,4.1,83,400,1
891,4.0,107,300,1
892,3.7,28,500,1
893,3.7,194,400,1
894,2.7,76,500,1
895,2.6,75,400,1
896,2.9,126,300,1
897,3.9,435,650,1
898,2.9,255,250,1
899,4.4,2488,900,3
900,4.4,2237,1200,3
901,3.9,1337,1700,0
902,3.9,681,800,1
903,4.5,2781,1200,3
904,4.4,4312,1600,3
905,3.9,1763,1300,3
906,4.1,585,1200,0
907,4.1,1187,1200,0
908,4.0,1010,1300,0
909,4.1,842,1100,0
910,3.4,97,1100,1
911,4.1,612,1500,0
912,4.2,2022,1000,3
913,3.8,166,600,1
914,3.8,286,600,1
915,4.1,2303,950,3
916,4.1,2339,1500,3
917,4.4,4884,750,3
918,4.1,775,800,1
919,3.8,918,800,1
920,3.8,74,1000,1
921,4.1,139,550,1
922,3.8,176,1350,0
923,3.8,584,1200,0
924,4.3,633,800,1
925,4.1,102,800,1
926,4.6,1755,600,3
927,3.9,240,700,1
928,3.8,148,550,1
929,4.0,219,600,1
930,4.1,216,500,1
931,3.7,514,600,1
932,3.4,58,400,1
933,4.3,1252,800,0
934,4.2,704,500,1
935,4.1,796,400,1
936,4.2,731,800,1
937,4.2,223,800,1
938,4.1,707,850,1
939,4.2,261,700,1
940,4.2,150,600,1
941,4.2,1901,800,3
942,4.0,324,700,1
943,4.6,228,400,1
944,4.2,504,550,1
945,4.1,130,650,1
946,3.8,918,800,1
947,3.8,90,650,1
948,3.8,144,700,1
949,3.8,46,400,1
950,4.0,62,150,1
951,3.9,291,650,1
952,3.2,59,550,1
953,2.9,62,650,1
954,2.6,157,450,1
955,3.7,168,400,1
956,3.9,627,450,1
957,4.1,414,500,1
958,4.2,95,400,1
959,4.4,4884,750,3
960,4.0,771,450,1
961,4.2,64,500,1
962,4.1,233,200,1
963,3.8,505,450,1
964,4.1,201,300,1
965,4.0,774,800,1
966,3.7,125,250,1
967,3.8,540,650,1
968,3.7,176,600,1
969,3.6,91,500,1
970,3.8,133,200,1
971,4.2,354,800,1
972,3.6,518,400,1
973,4.2,504,550,1
974,4.1,1720,400,3
975,3.7,107,150,1
976,3.9,55,300,1
977,3.2,395,300,1
978,4.0,78,100,1
979,4.0,332,300,1
980,4.0,1975,800,3
981,4.0,618,750,1
982,3.3,261,500,1
983,4.0,253,300,1
984,3.9,750,500,1
985,4.6,2556,600,3
986,3.9,210,400,1
987,3.8,71,400,1
988,3.9,230,650,1
989,4.2,444,100,1
990,4.3,630,200,1
991,4.1,175,500,1
992,3.9,441,400,1
993,4.1,2723,800,3
994,3.8,693,750,1
995,4.4,4401,600,3
996,3.9,172,750,1
997,3.9,319,650,1
998,3.7,170,200,1
999,3.2,208,250,1
1000,4.1,163,500,1
1001,3.7,97,350,1
1002,4.2,415,500,1
1003,3.9,291,650,1
1004,4.2,1647,600,3
1005,4.1,364,1200,0
1006,3.8,70,100,1
1007,3.5,80,250,1
1008,3.9,264,200,1
1009,4.0,166,400,1
1010,3.9,134,400,1
1011,4.1,364,550,1
1012,4.2,449,400,1
1013,3.9,56,400,1
1014,3.9,148,400,1
1015,4.0,53,600,1
1016,4.2,2115,800,3
1017,3.9,67,200,1
1018,4.2,287,350,1
1019,3.6,84,250,1
1020,4.2,2171,1200,3
1021,4.2,1428,800,0
1022,3.7,93,200,1
1023,3.9,1227,900,0
1024,4.1,164,400,1
1025,3.8,577,900,1
1026,4.2,166,800,1
1027,3.5,32,150,1
1028,3.9,104,200,1
1029,3.9,38,150,1
1030,4.5,155,300,1
1031,4.2,3227,1600,3
1032,2.8,109,500,1
1033,3.7,662,650,1
1034,4.5,784,800,1
1035,3.0,73,500,1
1036,3.9,85,300,1
1037,4.3,659,500,1
1038,3.8,152,350,1
1039,4.1,337,300,1
1040,4.2,191,250,1
1041,4.0,108,500,1
1042,4.1,438,500,1
1043,3.9,49,200,1
1044,3.6,276,500,1
1045,4.2,1539,800,0
1046,4.1,1063,1200,0
1047,3.6,195,800,1
1048,3.9,211,500,1
1049,4.3,860,500,1
1050,4.2,289,400,1
1051,4.2,146,400,1
1052,4.2,169,600,1
1053,3.9,134,350,1
1054,3.9,113,250,1
1055,3.9,91,200,1
1056,3.7,237,200,1
1057,3.8,197,1000,1
1058,3.9,133,800,1
1059,4.0,90,500,1
1060,4.3,1252,800,0
1061,4.1,796,400,1
1062,3.8,918,800,1
1063,3.8,155,450,1
1064,3.9,240,700,1
1065,3.6,41,700,1
1066,3.7,217,800,1
1067,4.0,73,300,1
1068,4.1,192,300,1
1069,3.8,53,250,1
1070,3.9,61,150,1
1071,3.8,242,650,1
1072,4.0,465,600,1
1073,4.0,324,700,1
1074,2.6,307,700,1
1075,3.7,47,400,1
1076,4.2,150,600,1
1077,3.0,290,450,1
1078,4.4,356,400,1
1079,4.2,249,300,1
1080,3.8,82,1000,1
1081,3.9,91,300,1
1082,3.8,164,600,1
1083,3.5,179,600,1
1084,3.9,153,400,1
1085,3.5,79,600,1
1086,4.1,558,150,1
1087,4.0,197,300,1
1088,4.3,1129,1300,0
1089,4.0,89,200,1
1090,2.8,45,800,1
1091,3.7,54,600,1
1092,4.1,442,1200,0
1093,4.4,659,600,1
1094,4.2,261,700,1
1095,4.1,176,800,1
1096,3.8,61,100,1
1097,3.8,75,200,1
1098,4.5,1872,900,3
1099,4.1,30,100,1
1100,3.6,105,700,1
1101,3.8,74,300,1
1102,4.0,136,350,1
1103,3.7,71,450,1
1104,3.9,178,400,1
1105,3.9,233,800,1
1106,2.7,97,400,1
1107,3.8,144,700,1
1108,2.8,137,300,1
1109,4.1,970,1500,0
1110,3.9,135,800,1
1111,3.7,514,600,1
1112,3.9,914,1000,0
1113,2.9,177,700,1
1114,3.9,157,450,1
1115,3.9,70,400,1
1116,3.9,247,400,1
1117,3.6,62,600,1
1118,3.0,57,400,1
1119,4.1,204,300,1
1120,3.9,519,900,1
1121,4.1,119,800,1
1122,4.1,130,650,1
1123,2.6,208,650,1
1124,4.0,349,1200,0
1125,3.3,128,300,1
1126,4.0,1778,200,3
1127,4.1,279,200,1
1128,3.8,469,750,1
1129,4.3,322,400,1
1130,3.8,90,650,1
1131,3.6,81,500,1
1132,3.9,214,400,1
1133,4.3,316,100,1
